DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
11,10,2012,Thursday,10/11/2012,20,0.410685341
24,11,2012,Saturday,11/24/2012,16,0.311409011
15,4,2012,Sunday,4/15/2012,22,0.347397921
20,11,2013,Wednesday,11/20/2013,12,0.226298366
15,2,2014,Saturday,2/15/2014,12,0.303835834
13,10,2013,Sunday,10/13/2013,14,0.444135556
16,7,2012,Monday,7/16/2012,20,0.667518573
5,1,2013,Saturday,1/5/2013,18,0.542683650
8,6,2012,Friday,6/8/2012,22,0.560219224
19,11,2013,Tuesday,11/19/2013,4,0.159172404
22,11,2012,Thursday,11/22/2012,22,0.248515790
11,2,2014,Tuesday,2/11/2014,0,0.215047713
12,10,2013,Saturday,10/12/2013,6,0.191730619
20,9,2013,Friday,9/20/2013,22,0.336129258
10,12,2011,Saturday,12/10/2011,20,0.321861702
5,1,2014,Sunday,1/5/2014,10,0.295381025
7,6,2013,Friday,6/7/2013,22,0.392592946
27,1,2013,Sunday,1/27/2013,20,0.360899508
23,1,2012,Monday,1/23/2012,22,0.273211073
30,4,2012,Monday,4/30/2012,16,0.310079954
13,9,2012,Thursday,9/13/2012,22,0.387342680
1,12,2011,Thursday,12/1/2011,16,0.273741722
7,10,2013,Monday,10/7/2013,16,0.305955341
28,10,2013,Monday,10/28/2013,8,0.235462311
8,4,2012,Sunday,4/8/2012,18,0.450553976
27,12,2011,Tuesday,12/27/2011,18,0.317834146
14,2,2012,Tuesday,2/14/2012,20,0.3999625
7,11,2012,Wednesday,11/7/2012,16,0.332325301
19,12,2013,Thursday,12/19/2013,12,0.283138422
12,10,2011,Wednesday,10/12/2011,22,0.26127
6,8,2012,Monday,8/6/2012,20,0.649874772
29,10,2013,Tuesday,10/29/2013,0,0.175512558
6,12,2013,Friday,12/6/2013,2,0.152434081
26,1,2014,Sunday,1/26/2014,14,0.248562268
26,9,2012,Wednesday,9/26/2012,18,0.390852707
20,12,2013,Friday,12/20/2013,4,0.174740540
10,3,2013,Sunday,3/10/2013,22,0.292325619
