DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
22,7,2013,Monday,7/22/2013,12,0.303882024
2,12,2012,Sunday,12/2/2012,14,0.324510767
9,3,2012,Friday,3/9/2012,4,0.168769409
12,11,2013,Tuesday,11/12/2013,18,0.370033854
21,8,2012,Tuesday,8/21/2012,14,0.225181181
12,9,2013,Thursday,9/12/2013,8,0.278117802
23,2,2014,Sunday,2/23/2014,18,0.376021433
10,5,2013,Friday,5/10/2013,10,0.244828785
15,3,2012,Thursday,3/15/2012,2,0.179392442
20,10,2012,Saturday,10/20/2012,2,0.153131526
1,7,2013,Monday,7/1/2013,6,0.271847823
14,4,2013,Sunday,4/14/2013,8,0.244084481
4,11,2011,Friday,11/4/2011,14,0.248369048
5,11,2011,Saturday,11/5/2011,6,0.190912698
1,2,2012,Wednesday,2/1/2012,14,0.260422222
3,12,2012,Monday,12/3/2012,6,0.239717688
16,3,2012,Friday,3/16/2012,10,0.270642632
7,11,2011,Monday,11/7/2011,0,0.205630952
13,4,2013,Saturday,4/13/2013,0,0.211227542
7,7,2012,Saturday,7/7/2012,2,0.244957032
30,7,2012,Monday,7/30/2012,12,0.306631289
29,12,2012,Saturday,12/29/2012,4,0.151312388
18,12,2011,Sunday,12/18/2011,10,0.292566667
9,5,2013,Thursday,5/9/2013,2,0.170149440
21,2,2013,Thursday,2/21/2013,12,0.251724442
8,7,2012,Sunday,7/8/2012,10,0.404787218
15,6,2012,Friday,6/15/2012,0,0.287760637
22,8,2013,Thursday,8/22/2013,2,0.228063449
23,7,2013,Tuesday,7/23/2013,4,0.228326718
21,10,2013,Monday,10/21/2013,16,0.484449712
21,8,2013,Wednesday,8/21/2013,10,0.310518621
13,9,2013,Friday,9/13/2013,0,0.210694479
30,6,2013,Sunday,6/30/2013,14,0.445602987
28,12,2012,Friday,12/28/2012,12,0.326131503
20,2,2013,Wednesday,2/20/2013,4,0.173958464
12,3,2013,Tuesday,3/12/2013,6,0.250920726
14,12,2013,Saturday,12/14/2013,20,0.344699899
2,2,2013,Saturday,2/2/2013,4,0.151107614
19,4,2013,Friday,4/19/2013,0,0.207168379
24,9,2012,Monday,9/24/2012,2,0.154416963
28,5,2013,Tuesday,5/28/2013,10,0.308331006
7,12,2011,Wednesday,12/7/2011,0,0.171061047
23,8,2013,Friday,8/23/2013,10,0.313054098
1,11,2012,Thursday,11/1/2012,0,0.173513058
6,12,2011,Tuesday,12/6/2011,8,0.240880814
16,5,2012,Wednesday,5/16/2012,0,0.282097466
20,9,2012,Thursday,9/20/2012,14,0.203795329
12,12,2013,Thursday,12/12/2013,18,0.385298035
6,5,2012,Sunday,5/6/2012,0,0.287280946
13,2,2012,Monday,2/13/2012,12,0.262231587
29,12,2011,Thursday,12/29/2011,2,0.192290244
18,1,2012,Wednesday,1/18/2012,14,0.256807359
13,3,2013,Wednesday,3/13/2013,14,0.250670201
23,9,2012,Sunday,9/23/2012,10,0.282058655
28,12,2011,Wednesday,12/28/2011,10,0.236629268
23,1,2013,Wednesday,1/23/2013,12,0.251048746
8,6,2013,Saturday,6/8/2013,14,0.326429610
20,4,2013,Saturday,4/20/2013,8,0.275564596
19,9,2012,Wednesday,9/19/2012,6,0.218146642
17,12,2012,Monday,12/17/2012,6,0.228898964
21,7,2013,Sunday,7/21/2013,4,0.202335931
31,10,2012,Wednesday,10/31/2012,8,0.231691792
17,1,2012,Tuesday,1/17/2012,6,0.209294785
8,8,2012,Wednesday,8/8/2012,4,0.226300309
11,4,2012,Wednesday,4/11/2012,10,0.300587193
3,2,2013,Sunday,2/3/2013,12,0.289920398
9,8,2012,Thursday,8/9/2012,12,0.278732507
28,6,2012,Thursday,6/28/2012,10,0.341565554
24,8,2013,Saturday,8/24/2013,2,0.215833421
9,6,2013,Sunday,6/9/2013,6,0.203007308
5,10,2013,Saturday,10/5/2013,0,0.224522177
16,12,2012,Sunday,12/16/2012,14,0.493543497
12,2,2012,Sunday,2/12/2012,4,0.153267969
4,10,2013,Friday,10/4/2013,8,0.279912413
20,7,2013,Saturday,7/20/2013,12,0.315510815
27,6,2012,Wednesday,6/27/2012,2,0.224865706
24,1,2013,Thursday,1/24/2013,4,0.166376948
31,10,2013,Thursday,10/31/2013,16,0.260129535
25,1,2014,Saturday,1/25/2014,22,0.264649954
7,5,2012,Monday,5/7/2012,8,0.430788052
17,5,2012,Thursday,5/17/2012,8,0.462007705
10,4,2012,Tuesday,4/10/2012,2,0.177212420
27,5,2013,Monday,5/27/2013,2,0.198301226
24,5,2013,Friday,5/24/2013,21,0.489784653
26,12,2013,Thursday,12/26/2013,11,0.295778143
1,1,2012,Sunday,1/1/2012,21,0.303678049
11,1,2013,Friday,1/11/2013,19,0.652768255
7,2,2013,Thursday,2/7/2013,19,0.393797763
12,6,2013,Wednesday,6/12/2013,17,0.505086942
30,9,2013,Monday,9/30/2013,23,0.249855201
24,6,2012,Sunday,6/24/2012,21,0.663795611
25,12,2013,Wednesday,12/25/2013,3,0.165256887
30,11,2013,Saturday,11/30/2013,13,0.264059444
27,10,2012,Saturday,10/27/2012,23,0.213010908
4,9,2013,Wednesday,9/4/2013,21,0.382746200
4,11,2013,Monday,11/4/2013,15,0.235410131
29,5,2012,Tuesday,5/29/2012,23,0.362875875
1,3,2013,Friday,3/1/2013,17,0.378123530
17,10,2011,Monday,10/17/2011,17,0.345888889
2,5,2013,Thursday,5/2/2013,23,0.279045146
5,10,2012,Friday,10/5/2012,21,0.337917605
3,11,2013,Sunday,11/3/2013,7,0.242446292
20,12,2012,Thursday,12/20/2012,17,0.422005444
11,5,2012,Friday,5/11/2012,23,0.313632018
29,11,2013,Friday,11/29/2013,5,0.197456820
24,11,2011,Thursday,11/24/2011,23,0.216160156
8,9,2012,Saturday,9/8/2012,17,0.312177002
25,2,2012,Saturday,2/25/2012,19,0.400272780
14,1,2012,Saturday,1/14/2012,17,0.320023148
8,7,2013,Monday,7/8/2013,19,0.764696413
20,1,2014,Monday,1/20/2014,1,0.218508839
13,8,2012,Monday,8/13/2012,19,0.703820118
21,1,2014,Tuesday,1/21/2014,9,0.253474759
30,3,2012,Friday,3/30/2012,21,0.349262187
22,12,2012,Saturday,12/22/2012,16,0.378050333
18,6,2012,Monday,6/18/2012,20,0.662126019
23,12,2013,Monday,12/23/2013,2,0.265214319
7,3,2013,Thursday,3/7/2013,16,0.328286661
10,9,2012,Monday,9/10/2012,16,0.238948578
9,2,2013,Saturday,2/9/2013,18,0.509371502
25,10,2012,Thursday,10/25/2012,22,0.269310515
5,4,2012,Thursday,4/5/2012,20,0.419961695
2,9,2013,Monday,9/2/2013,20,0.434443551
29,9,2012,Saturday,9/29/2012,20,0.343126246
9,11,2013,Saturday,11/9/2013,6,0.217732465
27,5,2012,Sunday,5/27/2012,22,0.489848155
19,8,2012,Sunday,8/19/2012,18,0.623869347
24,9,2013,Tuesday,9/24/2013,22,0.303531085
7,1,2012,Saturday,1/7/2012,20,0.316235437
19,2,2012,Sunday,2/19/2012,18,0.524320779
15,10,2011,Saturday,10/15/2011,16,0.253220588
1,12,2013,Sunday,12/1/2013,4,0.149385444
15,1,2014,Wednesday,1/15/2014,8,0.254609065
10,7,2013,Wednesday,7/10/2013,18,0.714363023
26,4,2013,Friday,4/26/2013,22,0.318433617
24,12,2013,Tuesday,12/24/2013,10,0.295060208
17,1,2013,Thursday,1/17/2013,18,0.590892565
12,1,2012,Thursday,1/12/2012,16,0.249509524
18,6,2013,Tuesday,6/18/2013,16,0.327608958
13,5,2012,Sunday,5/13/2012,22,0.454363859
22,5,2013,Wednesday,5/22/2013,20,0.593298418
14,1,2014,Tuesday,1/14/2014,0,0.203908409
10,11,2013,Sunday,11/10/2013,14,0.274497816
26,11,2011,Saturday,11/26/2011,22,0.266828125
2,12,2013,Monday,12/2/2013,12,0.226171790
10,3,2012,Saturday,3/10/2012,7,0.276403204
19,12,2011,Monday,12/19/2011,9,0.255
14,4,2013,Sunday,4/14/2013,3,0.155166947
1,2,2012,Wednesday,2/1/2012,5,0.20065625
4,11,2011,Friday,11/4/2011,5,0.194262097
18,3,2013,Monday,3/18/2013,13,0.220048574
19,10,2012,Friday,10/19/2012,1,0.151136206
24,2,2014,Monday,2/24/2014,17,0.398417489
29,12,2012,Saturday,12/29/2012,15,0.270868649
5,11,2011,Saturday,11/5/2011,13,0.317944444
29,7,2012,Sunday,7/29/2012,15,0.382398326
14,11,2012,Wednesday,11/14/2012,3,0.142354368
9,3,2012,Friday,3/9/2012,15,0.285259375
21,8,2012,Tuesday,8/21/2012,5,0.226913249
20,2,2013,Wednesday,2/20/2013,15,0.312111641
7,11,2011,Monday,11/7/2011,11,0.266912698
20,10,2013,Sunday,10/20/2013,19,0.418897082
22,8,2013,Thursday,8/22/2013,9,0.385154336
1,7,2013,Monday,7/1/2013,13,0.325657391
30,6,2013,Sunday,6/30/2013,5,0.206219974
13,4,2013,Saturday,4/13/2013,11,0.258143139
30,7,2012,Monday,7/30/2012,7,0.436109221
20,10,2012,Saturday,10/20/2012,9,0.281390312
11,11,2013,Monday,11/11/2013,17,0.399687505
3,2,2014,Monday,2/3/2014,21,0.394551727
19,3,2013,Tuesday,3/19/2013,5,0.180900096
22,4,2012,Sunday,4/22/2012,11,0.338317164
8,7,2012,Sunday,7/8/2012,1,0.288469723
12,9,2013,Thursday,9/12/2013,3,0.151165272
31,1,2012,Tuesday,1/31/2012,13,0.297247851
15,3,2012,Thursday,3/15/2012,9,0.254790582
2,12,2012,Sunday,12/2/2012,5,0.222882337
18,12,2011,Sunday,12/18/2011,1,0.177066667
12,1,2014,Sunday,1/12/2014,23,0.259033122
6,11,2011,Sunday,11/6/2011,3,0.138186508
15,11,2012,Thursday,11/15/2012,11,0.218508011
10,5,2013,Friday,5/10/2013,1,0.191514752
3,12,2012,Monday,12/3/2012,13,0.234558853
23,4,2012,Monday,4/23/2012,3,0.177428109
21,8,2013,Wednesday,8/21/2013,1,0.256275288
13,9,2013,Friday,9/13/2013,11,0.227512452
23,7,2013,Tuesday,7/23/2013,15,0.300518350
7,7,2012,Saturday,7/7/2012,9,0.436039383
15,6,2012,Friday,6/15/2012,11,0.290585615
22,7,2013,Monday,7/22/2013,7,0.467550354
16,6,2012,Saturday,6/16/2012,3,0.194382823
21,2,2013,Thursday,2/21/2013,7,0.272807795
28,12,2012,Friday,12/28/2012,7,0.216023355
9,5,2013,Thursday,5/9/2013,9,0.264235569
16,3,2012,Friday,3/16/2012,1,0.196721498
20,8,2012,Monday,8/20/2012,13,0.257937593
6,10,2011,Thursday,10/6/2011,21,0
21,7,2013,Sunday,7/21/2013,23,0.413557077
31,10,2013,Thursday,10/31/2013,3,0.147186822
17,1,2012,Tuesday,1/17/2012,21,0.297352679
1,11,2012,Thursday,11/1/2012,19,0.453328380
9,6,2013,Sunday,6/9/2013,21,0.453982576
16,5,2012,Wednesday,5/16/2012,19,0.648351232
12,2,2012,Sunday,2/12/2012,23,0.226226708
10,4,2012,Tuesday,4/10/2012,17,0.372212191
19,9,2012,Wednesday,9/19/2012,21,0.407292785
24,1,2014,Friday,1/24/2014,13,0.284140465
17,12,2012,Monday,12/17/2012,21,0.317820403
7,12,2011,Wednesday,12/7/2011,19,0.397888268
19,4,2013,Friday,4/19/2013,19,0.415499917
30,10,2013,Wednesday,10/30/2013,11,0.222207482
5,10,2013,Saturday,10/5/2013,19,0.369484090
25,1,2014,Saturday,1/25/2014,5,0.176513065
14,12,2013,Saturday,12/14/2013,7,0.250223610
6,5,2012,Sunday,5/6/2012,19,0.623698564
13,12,2013,Friday,12/13/2013,15,0.384224488
12,12,2013,Thursday,12/12/2013,1,0.194918333
27,6,2012,Wednesday,6/27/2012,17,0.559745276
27,5,2013,Monday,5/27/2013,17,0.502309444
8,8,2012,Wednesday,8/8/2012,23,0.387313591
24,8,2013,Saturday,8/24/2013,17,0.345296506
29,12,2011,Thursday,12/29/2011,17,0.288
11,12,2013,Wednesday,12/11/2013,9,0.250521426
12,3,2013,Tuesday,3/12/2013,21,0.346079263
2,2,2013,Saturday,2/2/2013,23,0.223796732
24,1,2013,Thursday,1/24/2013,23,0.273291935
24,9,2012,Monday,9/24/2012,17,0.284860536
23,8,2012,Thursday,8/23/2012,14,0.211933439
21,10,2012,Sunday,10/21/2012,10,0.278509651
28,6,2013,Friday,6/28/2013,14,0.333988522
7,5,2013,Tuesday,5/7/2013,2,0.168484768
12,11,2012,Monday,11/12/2012,8,0.229845050
3,11,2011,Thursday,11/3/2011,6,0.278029412
13,3,2012,Tuesday,3/13/2012,2,0.171983898
29,1,2012,Sunday,1/29/2012,6,0.194923304
11,1,2014,Saturday,1/11/2014,20,0.440407324
13,6,2012,Wednesday,6/13/2012,0,0.278758921
28,7,2012,Saturday,7/28/2012,12,0.336872661
16,4,2013,Tuesday,4/16/2013,8,0.274202171
13,11,2012,Tuesday,11/13/2012,0,0.165761659
5,12,2012,Wednesday,12/5/2012,6,0.224896183
22,8,2012,Wednesday,8/22/2012,6,0.266601436
8,5,2013,Wednesday,5/8/2013,10,0.252027709
2,11,2011,Wednesday,11/2/2011,14,0.221953782
14,11,2013,Thursday,11/14/2013,18,0.351697802
8,11,2011,Tuesday,11/8/2011,8,0.213726190
27,12,2012,Thursday,12/27/2012,4,0.143353963
23,2,2013,Saturday,2/23/2013,12,0.318323702
22,2,2013,Friday,2/22/2013,4,0.173445683
25,7,2013,Thursday,7/25/2013,4,0.226386782
29,6,2013,Saturday,6/29/2013,6,0.227246277
26,12,2012,Wednesday,12/26/2012,12,0.270915410
14,9,2013,Saturday,9/14/2013,8,0.273970042
27,7,2012,Friday,7/27/2012,4,0.207016206
22,10,2012,Monday,10/22/2012,2,0.146427434
11,3,2012,Sunday,3/11/2012,4,0.168711654
4,12,2012,Tuesday,12/4/2012,14,0.251982308
17,3,2013,Sunday,3/17/2013,14,0.270978322
14,3,2012,Wednesday,3/14/2012,10,0.244394331
14,6,2012,Thursday,6/14/2012,8,0.441428605
16,3,2013,Saturday,3/16/2013,6,0.200931033
15,9,2013,Sunday,9/15/2013,0,0.226517243
12,3,2012,Monday,3/12/2012,12,0.267641734
19,10,2013,Saturday,10/19/2013,16,0.279470225
10,7,2012,Tuesday,7/10/2012,10,0.346806047
24,4,2012,Tuesday,4/24/2012,0,0.236828536
30,1,2012,Monday,1/30/2012,14,0.385149709
17,12,2011,Saturday,12/17/2011,2,0.161626289
19,8,2013,Monday,8/19/2013,10,0.259176460
24,7,2013,Wednesday,7/24/2013,12,0.315713497
15,4,2013,Monday,4/15/2013,0,0.201818816
6,2,2014,Thursday,2/6/2014,22,0.259787891
25,4,2012,Wednesday,4/25/2012,8,0.332131385
9,7,2012,Monday,7/9/2012,2,0.223399401
20,8,2013,Tuesday,8/20/2013,2,0.202931740
9,11,2011,Wednesday,11/9/2011,0,0.215039683
25,2,2014,Tuesday,2/25/2014,18,0.433039069
16,12,2011,Friday,12/16/2011,10,0.213595361
27,6,2013,Thursday,6/27/2013,10,0.330007208
4,8,2013,Sunday,8/4/2013,8,0.372473474
1,9,2012,Saturday,9/1/2012,10,0.371633690
14,12,2011,Wednesday,12/14/2011,6,0.224080311
29,11,2012,Thursday,11/29/2012,10,0.230100082
19,11,2011,Saturday,11/19/2011,12,0.392675781
16,2,2013,Saturday,2/16/2013,8,0.271171716
11,7,2012,Wednesday,7/11/2012,14,0.264469597
26,7,2012,Thursday,7/26/2012,0,0.288690019
19,4,2012,Thursday,4/19/2012,4,0.174208728
17,9,2013,Tuesday,9/17/2013,12,0.233152819
15,12,2011,Thursday,12/15/2011,14,0.242272021
26,6,2013,Wednesday,6/26/2013,2,0.231979999
18,4,2012,Wednesday,4/18/2012,12,0.306235016
4,2,2012,Saturday,2/4/2012,10,0.312580752
24,10,2011,Monday,10/24/2011,10,0.253072961
16,10,2013,Wednesday,10/16/2013,20,0.358435082
12,7,2012,Thursday,7/12/2012,6,0.249953872
4,9,2013,Wednesday,9/4/2013,19,0.455353348
1,1,2012,Sunday,1/1/2012,19,0.299087805
27,10,2012,Saturday,10/27/2012,17,0.318188968
19,2,2014,Wednesday,2/19/2014,12,0.290197937
16,10,2013,Wednesday,10/16/2013,6,0.250166039
1,1,2014,Wednesday,1/1/2014,10,0.298580138
26,6,2013,Wednesday,6/26/2013,16,0.366649384
23,11,2013,Saturday,11/23/2013,4,0.156138456
12,7,2012,Thursday,7/12/2012,20,0.598588395
14,12,2011,Wednesday,12/14/2011,20,0.372010363
19,4,2012,Thursday,4/19/2012,22,0.365688503
2,9,2012,Sunday,9/2/2012,16,0.293542524
18,11,2011,Friday,11/18/2011,22,0.254085938
4,6,2012,Monday,6/4/2012,22,0.512243515
8,2,2014,Saturday,2/8/2014,8,0.261997991
31,3,2013,Sunday,3/31/2013,16,0.283576747
26,7,2012,Thursday,7/26/2012,18,0.594627258
7,2,2014,Friday,2/7/2014,0,0.181668969
17,10,2013,Thursday,10/17/2013,14,0.295032521
16,9,2013,Monday,9/16/2013,22,0.355890888
28,3,2012,Wednesday,3/28/2012,20,0.409839765
7,10,2012,Sunday,10/7/2012,20,0.384957859
17,2,2013,Sunday,2/17/2013,18,0.382426474
31,12,2013,Tuesday,12/31/2013,2,0.165160899
3,8,2013,Saturday,8/3/2013,18,0.574179580
9,8,2013,Friday,8/9/2013,20,0.596884804
28,11,2012,Wednesday,11/28/2012,16,0.287363398
14,5,2013,Tuesday,5/14/2013,20,0.478751996
2,4,2013,Tuesday,4/2/2013,22,0.256899307
9,1,2013,Wednesday,1/9/2013,18,0.380972334
20,2,2014,Thursday,2/20/2014,4,0.181979650
18,11,2012,Sunday,11/18/2012,22,0.253797296
27,2,2012,Monday,2/27/2012,18,0.596557517
23,10,2011,Sunday,10/23/2011,16,0.3637
24,11,2013,Sunday,11/24/2013,12,0.278371424
5,2,2012,Sunday,2/5/2012,16,0.455620390
31,12,2013,Tuesday,12/31/2013,13,0.308799961
24,11,2013,Sunday,11/24/2013,3,0.155434340
1,1,2014,Wednesday,1/1/2014,5,0.168823763
4,8,2013,Sunday,8/4/2013,21,0.574280451
30,3,2013,Saturday,3/30/2013,23,0.219288227
27,3,2012,Tuesday,3/27/2012,19,0.442026680
24,10,2011,Monday,10/24/2011,23,0.263777311
27,6,2013,Thursday,6/27/2013,23,0.385713379
8,2,2014,Saturday,2/8/2014,7,0.236683855
29,11,2012,Thursday,11/29/2012,23,0.242512421
26,2,2012,Sunday,2/26/2012,21,0.397879089
18,4,2012,Wednesday,4/18/2012,17,0.409537329
16,10,2013,Wednesday,10/16/2013,9,0.215624439
19,2,2014,Wednesday,2/19/2014,3,0.171499232
10,8,2013,Saturday,8/10/2013,19,0.503681777
7,2,2014,Friday,2/7/2014,15,0.278528811
16,2,2013,Saturday,2/16/2013,21,0.319900944
20,2,2014,Thursday,2/20/2014,11,0.247921219
15,12,2011,Thursday,12/15/2011,19,0.318266839
1,9,2012,Saturday,9/1/2012,23,0.387392704
1,4,2013,Monday,4/1/2013,17,0.370988428
19,11,2012,Monday,11/19/2012,17,0.351805443
19,11,2011,Saturday,11/19/2011,17,0.397410156
3,6,2012,Sunday,6/3/2012,17,0.619596888
13,5,2013,Monday,5/13/2013,19,0.492300710
17,10,2013,Thursday,10/17/2013,1,0.162548380
23,11,2013,Saturday,11/23/2013,11,0.309206846
17,9,2013,Tuesday,9/17/2013,17,0.304046713
25,7,2012,Wednesday,7/25/2012,21,0.596253865
8,10,2012,Monday,10/8/2012,19,0.433350252
10,1,2013,Thursday,1/10/2013,21,0.327253110
11,7,2012,Wednesday,7/11/2012,19,0.601291035
4,2,2012,Saturday,2/4/2012,23,0.267281046
14,1,2012,Saturday,1/14/2012,7,0.216747685
28,2,2013,Thursday,2/28/2013,15,0.342345320
13,6,2013,Thursday,6/13/2013,15,0.248754555
11,1,2013,Friday,1/11/2013,5,0.181495644
3,11,2013,Sunday,11/3/2013,17,0.444835487
6,2,2013,Wednesday,2/6/2013,13,0.234233328
13,8,2012,Monday,8/13/2012,5,0.241487136
1,3,2013,Friday,3/1/2013,7,0.299197217
9,7,2013,Tuesday,7/9/2013,13,0.392650566
11,5,2012,Friday,5/11/2012,1,0.202024832
17,10,2011,Monday,10/17/2011,7,0.274786765
25,11,2011,Friday,11/25/2011,9,0.25096875
25,12,2013,Wednesday,12/25/2013,21,0.301086328
27,10,2012,Saturday,10/27/2012,1,0.159052984
1,1,2012,Sunday,1/1/2012,3,0.168156098
6,10,2012,Saturday,10/6/2012,11,0.271987094
25,2,2012,Saturday,2/25/2012,5,0.198204626
29,3,2012,Thursday,3/29/2012,11,0.248323577
30,9,2013,Monday,9/30/2013,1,0.171008852
18,10,2011,Tuesday,10/18/2011,15,0.275475676
8,7,2013,Monday,7/8/2013,5,0.246186740
23,5,2013,Thursday,5/23/2013,11,0.313224793
29,11,2013,Friday,11/29/2013,19,0.348819080
4,9,2013,Wednesday,9/4/2013,3,0.157730477
30,3,2012,Friday,3/30/2012,3,0.167261812
12,8,2012,Sunday,8/12/2012,13,0.435935169
1,10,2013,Tuesday,10/1/2013,9,0.244073025
8,9,2012,Saturday,9/8/2012,7,0.250321651
24,11,2011,Thursday,11/24/2011,1,0.159261719
1,5,2013,Wednesday,5/1/2013,9,0.239506601
13,1,2012,Friday,1/13/2012,15,0.259141204
12,6,2013,Wednesday,6/12/2013,7,0.377688597
10,5,2012,Thursday,5/10/2012,9,0.287909475
21,12,2012,Friday,12/21/2012,15,0.257463878
28,10,2012,Sunday,10/28/2012,9,0.288456202
7,2,2013,Thursday,2/7/2013,5,0.185064598
20,1,2014,Monday,1/20/2014,23,0.255991587
20,12,2012,Thursday,12/20/2012,7,0.297217486
24,5,2013,Friday,5/24/2013,3,0.182794076
5,9,2013,Thursday,9/5/2013,11,0.216336142
5,10,2012,Friday,10/5/2012,3,0.147204460
2,5,2013,Thursday,5/2/2013,1,0.175192273
7,9,2012,Friday,9/7/2012,15,0.224908923
2,1,2012,Monday,1/2/2012,11,0.289285366
12,1,2013,Saturday,1/12/2013,13,0.664135007
23,6,2012,Saturday,6/23/2012,11,0.380036951
28,5,2012,Monday,5/28/2012,9,0.347133501
29,5,2012,Tuesday,5/29/2012,1,0.225153134
24,2,2012,Friday,2/24/2012,13,0.326254157
24,6,2012,Sunday,6/24/2012,3,0.234419143
26,10,2013,Saturday,10/26/2013,20,0.325915859
15,9,2012,Saturday,9/15/2012,10,0.314976747
9,10,2013,Wednesday,10/9/2013,12,0.208546658
28,8,2013,Wednesday,8/28/2013,14,0.207999099
25,12,2011,Sunday,12/25/2011,14,0.335690244
29,1,2013,Tuesday,1/29/2013,8,0.264620476
3,5,2012,Thursday,5/3/2012,4,0.178246485
2,12,2011,Friday,12/2/2011,4,0.168039735
4,6,2013,Tuesday,6/4/2013,2,0.212419228
19,1,2013,Saturday,1/19/2013,0,0.331189794
21,1,2012,Saturday,1/21/2012,10,0.278987410
9,10,2011,Sunday,10/9/2011,2,0
22,1,2012,Sunday,1/22/2012,2,0.181780576
17,12,2013,Tuesday,12/17/2013,16,0.345866027
3,12,2011,Saturday,12/3/2011,12,0.261688272
2,7,2012,Monday,7/2/2012,6,0.299256201
4,11,2012,Sunday,11/4/2012,4,0.144432612
7,12,2013,Saturday,12/7/2013,22,0.267583832
20,1,2013,Sunday,1/20/2013,8,0.264096482
16,9,2012,Sunday,9/16/2012,2,0.192939161
9,3,2013,Saturday,3/9/2013,2,0.176269123
31,5,2013,Friday,5/31/2013,14,0.217652258
28,9,2012,Friday,9/28/2012,14,0.242597288
27,8,2013,Tuesday,8/27/2013,6,0.253681300
1,6,2013,Saturday,6/1/2013,6,0.200903608
8,10,2013,Tuesday,10/8/2013,4,0.153618407
17,7,2013,Wednesday,7/17/2013,8,0.378523676
1,7,2012,Sunday,7/1/2012,14,0.390438886
24,12,2011,Saturday,12/24/2011,6,0.232407317
8,3,2013,Friday,3/8/2013,10,0.232100676
16,2,2012,Thursday,2/16/2012,8,0.218145275
4,8,2012,Saturday,8/4/2012,8,0.456667586
27,9,2012,Thursday,9/27/2012,6,0.192354628
24,4,2013,Wednesday,4/24/2013,4,0.151435685
5,11,2012,Monday,11/5/2012,12,0.250002276
30,1,2013,Wednesday,1/30/2013,0,0.200268535
16,7,2013,Tuesday,7/16/2013,0,0.276019391
10,10,2011,Monday,10/10/2011,10,0.250117647
12,12,2012,Wednesday,12/12/2012,2,0.146848657
17,2,2012,Friday,2/17/2012,0,0.193590782
20,5,2012,Sunday,5/20/2012,12,0.379389036
6,4,2012,Friday,4/6/2012,14,0.316155833
5,8,2012,Sunday,8/5/2012,0,0.339560160
2,5,2012,Wednesday,5/2/2012,12,0.251553640
23,4,2013,Tuesday,4/23/2013,12,0.229112137
21,5,2012,Monday,5/21/2012,4,0.195645349
5,6,2013,Wednesday,6/5/2013,10,0.322755633
7,4,2012,Saturday,4/7/2012,6,0.198525247
13,12,2012,Thursday,12/13/2012,10,0.219918141
28,1,2014,Tuesday,1/28/2014,18,0.429039226
17,2,2014,Monday,2/17/2014,15,0.263738757
11,8,2013,Sunday,8/11/2013,23,0.324083015
22,3,2012,Thursday,3/22/2012,23,0.237593817
2,1,2014,Thursday,1/2/2014,1,0.201534289
22,9,2013,Sunday,9/22/2013,21,0.359165332
7,2,2012,Tuesday,2/7/2012,19,0.392560277
8,4,2013,Monday,4/8/2013,21,0.353289913
20,7,2012,Friday,7/20/2012,17,0.495347992
17,4,2012,Tuesday,4/17/2012,21,0.440606260
25,10,2011,Tuesday,10/25/2011,19,0.384415966
11,10,2013,Friday,10/11/2013,13,0.220530726
18,2,2014,Tuesday,2/18/2014,7,0.281189551
20,6,2013,Thursday,6/20/2013,19,0.710985734
1,8,2013,Thursday,8/1/2013,17,0.406683784
16,5,2013,Thursday,5/16/2013,23,0.309655650
22,11,2013,Friday,11/22/2013,15,0.270109232
13,10,2012,Saturday,10/13/2012,23,0.242736718
15,2,2013,Friday,2/15/2013,17,0.321566408
25,3,2013,Monday,3/25/2013,19,0.460792439
16,11,2011,Wednesday,11/16/2011,21,0.318449219
4,3,2012,Sunday,3/4/2012,17,0.636546970
31,8,2012,Friday,8/31/2012,19,0.571972998
13,2,2014,Thursday,2/13/2014,3,0.183363559
3,1,2014,Friday,1/3/2014,9,0.265743532
6,6,2012,Wednesday,6/6/2012,21,0.649578794
14,2,2014,Friday,2/14/2014,11,0.241447717
8,12,2011,Thursday,12/8/2011,23,0.214169399
3,1,2013,Thursday,1/3/2013,17,0.349476547
26,11,2012,Monday,11/26/2012,19,0.444117827
10,10,2013,Thursday,10/10/2013,5,0.182600136
20,11,2012,Tuesday,11/20/2012,21,0.310859623
21,11,2013,Thursday,11/21/2013,7,0.267653716
18,7,2012,Wednesday,7/18/2012,23,0.378879010
18,12,2013,Wednesday,12/18/2013,13,0.264854956
21,5,2012,Monday,5/21/2012,17,0.448294260
30,1,2013,Wednesday,1/30/2013,21,0.358014689
17,2,2012,Friday,2/17/2012,21,0.356945695
27,10,2013,Sunday,10/27/2013,9,0.275140273
27,9,2012,Thursday,9/27/2012,19,0.400568749
16,7,2013,Tuesday,7/16/2013,21,0.511072718
16,9,2012,Sunday,9/16/2012,23,0.274613895
7,12,2013,Saturday,12/7/2013,3,0.149594548
24,4,2013,Wednesday,4/24/2013,17,0.291958812
19,1,2013,Saturday,1/19/2013,21,0.297083282
28,1,2014,Tuesday,1/28/2014,7,0.244719512
27,8,2013,Tuesday,8/27/2013,19,0.516409060
9,3,2013,Saturday,3/9/2013,23,0.246719675
9,10,2011,Sunday,10/9/2011,23,0
7,4,2012,Saturday,4/7/2012,19,0.427045850
1,6,2013,Saturday,6/1/2013,19,0.501284453
8,10,2013,Tuesday,10/8/2013,17,0.341210235
2,7,2012,Monday,7/2/2012,19,0.741238180
